id,timestamp,type,persona,machine_id,machine_name,line,station,severity,category,description,ai_recommendation,confidence_score,action_taken,status,auto_rescheduled,estimated_downtime_mins,cost_impact_inr,affected_batches
EVT-001,2026-04-13T06:05:00Z,Machine Alert,Operations Manager,M4,Machine 4 - PCB Assembly,A,PCB Assembly,HIGH,Overheating Risk,Machine 4 overheating risk detected. Current temperature: 85°C.,Shift cooling system to active mode. Schedule inspection within next 2 hours.,0.92,Cooling system activated. Technician dispatched.,IN_PROGRESS,True,45,38000,BATCH-1247; BATCH-1248
EVT-004,2026-04-13T07:30:00Z,Quality Defect,Line Supervisor,S3,Soldering Station 3,B,Soldering,HIGH,Defect Detected,Cold Solder Joint detected on Batch #4 L247 at 20:08. AI flagged for immediate rework.,Isolate Batch #4 L247. Run rework protocol. Inspect last 50 units.,0.96,Batch isolated. QC team notified.,IN_PROGRESS,True,30,22000,BATCH-4-L247
EVT-005,2026-04-13T08:00:00Z,Task Assignment,Line Supervisor,L4,Line 4 - Quality Check,4,Quality Check,HIGH,Task Scheduled,Quality Check - Batch #1247 assigned to John Chen on Line 4. Estimated 45 mins.,Prioritize Batch #1247 before Inventory Count to meet delivery deadline.,0.91,Task assigned. Worker notified.,IN_PROGRESS,False,0,0,BATCH-1247
EVT-006,2026-04-13T08:45:00Z,Vendor Risk Alert,Supply Chain Manager,V1,TechCorp Industries,N/A,Procurement,HIGH,Vendor Delay Detected,TechCorp Industries showing 15% increase on lead times. On-time delivery dropped to 67%.,Switch to AlphaTech Solutions for next 3 orders. Estimated saving: ₹2.1L in delay penalties.,0.88,Manager notified. Awaiting approval.,PENDING,False,0,210000,ORDER-0091; ORDER-0092; ORDER-0093
EVT-007,2026-04-13T09:15:00Z,Inventory Alert,Supply Chain Manager,I1,Sensors Inventory,N/A,Warehouse,HIGH,Critical Stock,Sensors inventory at 12 days remaining. Critical threshold breached. Auto-PO trigger activated.,Raise emergency PO for 500 units from Precision Devices. ETA: 8 days.,0.95,Auto-PO generated and sent to Procurement Manager for approval.,PENDING,False,0,85000,FUTURE-ORDERS
EVT-008,2026-04-13T09:50:00Z,Predictive Maintenance,Operations Manager,S7,Soldering Line 7,7,Soldering,HIGH,Machine Calibration Required,Soldering Line 7 machine calibration overdue. Predicted efficiency drop of 18% within 1-2 hrs.,Dispatch technician for calibration now. Estimated fix time: 30 mins. Reschedule affected jobs.,0.9,Technician dispatched. Jane Smith (Line 7) briefed. Machine Calibration task logged.,IN_PROGRESS,True,60,41000,BATCH-LINE7-09
EVT-002,2026-04-13T06:20:00Z,Workforce Reallocation,Line Supervisor,M4,Machine 4 - PCB Assembly,4,PCB Assembly,MEDIUM,Worker Reallocation,Afternoon Shift Worker reallocated to Machine 4. 43% → 12% reallocated.,Reassign Worker ID W-221 from Packaging to PCB Assembly to compensate.,0.87,Worker W-221 reassigned. Schedule updated.,RESOLVED,True,15,5000,BATCH-1247
EVT-009,2026-04-13T10:30:00Z,Battery Stock Forecast,Supply Chain Manager,B1,Battery Cells Inventory,N/A,Warehouse,MEDIUM,Battery Call Projected,Battery cell stock expected to rise 6% next quarter based on demand trend analysis.,Increase inventory buffer by 25%. Impact: ₹73K buffer cost vs ₹40K estimated stockout cost.,0.83,Recommendation under review by Supply Chain Manager.,PENDING,False,0,73000,Q2-FORECAST
EVT-010,2026-04-13T11:00:00Z,Assembly Line Status,Operations Manager,A1,Live Assembly Line - Production Floor A,A,All Stations,MEDIUM,Component Shortage on Line,PCB Assembly station - component shortage detected. Parts depleting from Line C. Auto-delaying from Line 1.,Redirect 200 units from Buffer Zone 3 to PCB Assembly. Estimated resolution: 0-1 hr.,0.82,Buffer Zone 3 redirect initiated. Operations Manager notified.,IN_PROGRESS,True,20,17000,BATCH-PCB-FLOOR-A
EVT-003,2026-04-13T07:00:00Z,Line Efficiency Update,Line Supervisor,L2,Production Line B,B,All Stations,LOW,Performance Update,Line efficiency is at 94% today. 2% above 90% target. Great work boosting the floor!,Maintain current pace. Monitor Soldering station for potential bottleneck.,0.99,No action required.,RESOLVED,False,0,0,N/A
